Org	Mod	Vid	Stdev	Fraction	Fig
CC	5mrC untreated	0.2947	0.0144	total	2B
CC	5mrC untreated	0.0624	0.014	large polyA-depleted	2B
CC	5mrC untreated	0.7577	0.1608	small	2B
CC	5mrC untreated	0.0147	0.0041	polyA	2B
CC	5mrC vitC 2d	0.2126	0.0038	total	2B
CC	5mrC vitC 2d	0.1014	0.0247	large polyA-depleted	2B
CC	5mrC vitC 2d	0.347	0.0242	small	2B
CC	5mrC vitC 2d	0.2438	0.0069	polyA	2B
CC	5mrC vitC 5d	0.5456	0.0016	total	2B
CC	5mrC vitC 5d	0.2376	0.0267	large polyA-depleted	2B
CC	5mrC vitC 5d	0.8913	0.0379	small	2B
CC	5mrC vitC 5d	0.0779	0.0074	polyA	2B
CC	5hmrC untreated	0.00483	0.00015443	total	2B
CC	5hmrC untreated	0.003256	0.00041069	large polyA-depleted	2B
CC	5hmrC untreated	0.008851	0.00037132	small	2B
CC	5hmrC untreated	0	0	polyA	2B
CC	5hmrC vitC 2d	0.0072	0.0011	total	2B
CC	5hmrC vitC 2d	0.0057	0.0007	large polyA-depleted	2B
CC	5hmrC vitC 2d	0.0094	0.0015	small	2B
CC	5hmrC vitC 2d	0	0	polyA	2B
CC	5hmrC vitC 5d	0.009773	0.000144572	total	2B
CC	5hmrC vitC 5d	0.009456	0.004689375	large polyA-depleted	2B
CC	5hmrC vitC 5d	0.013725	0.000604758	small	2B
CC	5hmrC vitC 5d	0	0	polyA	2B
CC	5carC-der untreated	1E-05	3.25014E-06	total	2B
CC	5carC-der untreated	7E-06	1.82643E-06	large polyA-depleted	2B
CC	5carC-der untreated	1.6E-05	2.62331E-06	small	2B
CC	5carC-der untreated	0	0	polyA	2B
CC	5carC-der vitC 2d	5.1E-05	6.89391E-06	total	2B
CC	5carC-der vitC 2d	5E-05	8.2989E-06	large polyA-depleted	2B
CC	5carC-der vitC 2d	1.9E-05	6.45493E-06	small	2B
CC	5carC-der vitC 2d	0	0	polyA	2B
CC	5carC-der vitC 5d	3.7E-05	1.24343E-05	total	2B
CC	5carC-der vitC 5d	3.3E-05	2.22743E-06	large polyA-depleted	2B
